"species"	"x"	"y"
"Trigona spinipes"	-48.503218	-27.681991
"Trigona spinipes"	-38.555365	-3.789188
"Trigona spinipes"	-46.176503	-17.74511
"Trigona spinipes"	-38.573405	-3.742537
"Trigona spinipes"	-38.573405	-3.742537
"Trigona spinipes"	-47.877003	-15.843318
"Trigona spinipes"	-49.229367	-25.371704
"Trigona spinipes"	-47.859659	-15.729922
"Trigona spinipes"	-49.306753	-25.426143
"Trigona spinipes"	-46.698599	-23.501475
"Trigona spinipes"	-38.573405	-3.742537
"Trigona spinipes"	-47.859659	-15.729922
"Trigona spinipes"	-47.859659	-15.729922
"Trigona spinipes"	-39.298059	-6.358796
"Trigona spinipes"	-46.980347	-22.957163
"Trigona spinipes"	-49.141754	-26.962952
"Trigona spinipes"	-47.826348	-15.744788
"Trigona spinipes"	-47.003292	-22.936803
"Trigona spinipes"	-46.551907	-23.442542
"Trigona spinipes"	-48.614913	-26.100315
"Trigona spinipes"	-38.41647	-12.947233
"Trigona spinipes"	-49.232968	-25.412521
"Trigona spinipes"	-48.497252	-27.685011
"Trigona spinipes"	-46.566512	-19.156859
"Trigona spinipes"	-47.046943	-22.903135
"Trigona spinipes"	-44.220037	-20.121689
"Trigona spinipes"	-37.461328	-4.652812
"Trigona spinipes"	-46.880139	-22.68952
"Trigona spinipes"	-41.3947	-12.562097
"Trigona spinipes"	-41.2334	-12.3339
"Trigona spinipes"	-38.494678	-7.530823
"Trigona spinipes"	-41.389876	-12.561728
"Trigona spinipes"	-41.393586	-12.565067
"Trigona spinipes"	-41.389876	-12.561728
"Trigona spinipes"	-43.295193	-22.953733
"Trigona spinipes"	-44.876822	-23.309378
"Trigona spinipes"	-44.877015	-23.309271
"Trigona spinipes"	-38.485697	-3.748662
"Trigona spinipes"	-44.886233	-23.356755
"Trigona spinipes"	-44.979905	-21.228136
"Trigona spinipes"	-47.85641	-15.764006
"Trigona spinipes"	-47.856084	-15.763702
"Trigona spinipes"	-47.854869	-15.765666
"Trigona spinipes"	-41.466522	-12.60181
"Trigona spinipes"	-41.390755	-12.566366
"Trigona spinipes"	-41.493134	-12.60268
"Trigona spinipes"	-39.983376	-19.059852
"Trigona spinipes"	-47.022263	-22.910878
"Trigona spinipes"	-41.453787	-12.672093
"Trigona spinipes"	-42.973502	-22.454118
"Trigona spinipes"	-41.392362	-12.560946
"Trigona spinipes"	-46.722403	-23.56565
"Trigona spinipes"	-41.979201	-22.836257
"Trigona spinipes"	-45.596489	-19.460771
"Trigona spinipes"	-55.5784	-27.2791
"Trigona spinipes"	-42.407247	-22.617108
"Trigona spinipes"	-47.409833	-21.048041
"Trigona spinipes"	-47.846779	-15.811054
"Trigona spinipes"	-54.9403	-27.4447
"Trigona spinipes"	-49.351487	-25.411477
"Trigona spinipes"	-43.691412	-20.523639
"Trigona spinipes"	-37.247526	-8.592594
"Trigona spinipes"	-37.247526	-8.592594
"Trigona spinipes"	-44.221655	-20.122745
"Trigona spinipes"	-46.557143	-23.627695
"Trigona spinipes"	-49.350105	-27.352828
"Trigona spinipes"	-49.267137	-25.428954
"Trigona spinipes"	-34.923267	-7.224909
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-46.6361	-23.5475
"Trigona spinipes"	-51.0233	-30.0811
"Trigona spinipes"	-44.138127	-22.676324
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.4531	-25.6761
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.4528	-25.676
